#BLTrackFile test
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-15.175 -0.170527 0.339626 0 0 0 0.134559 13 1 1 0 1 
-1.16496 15.0178 0.327523 0 0 0 0.139057 13 2 1 0 1 
10.972 -3.93453 0.318299 0 0 0 0.141997 13 3 1 0 1 
23.9517 5.79362 0.319326 0 0 0 0.141145 13 4 1 0 1 
-12.3791 -5.14256 0.311387 0 0 0 0.136427 13 5 1 0 1 
14.1205 35.0768 0.344785 0 0 0 0.135816 13 6 1 0 1 
1.1874 34.9604 0.310789 0 0 0 0.143556 13 7 1 0 1 
27.161 -7.02481 0.324429 0 0 0 0.139574 13 8 1 0 1 
-9.6354 -3.8635 0.249347 0 0 0 0.143142 13 9 1 0 1 
12.6043 -6.70043 0.339969 0 0 0 0.136933 13 10 1 0 1 
16.1289 27.1493 0.305852 0 0 0 0.143906 13 11 1 0 1 
-6.30614 10.7012 0.30778 0 0 0 0.143312 13 12 1 0 1 
25.3548 10.7982 0.38027 0 0 0 0.129566 13 13 1 0 1 
22.3059 20.0486 0.326096 0 0 0 0.139071 13 14 1 0 1 
-0.968642 -33.6283 0.313883 0 0 0 0.141461 13 15 1 0 1 
10.5498 14.4686 0.325758 0 0 0 0.136951 13 16 1 0 1 
-6.40209 -27.308 0.390741 0 0 0 0.129144 13 17 1 0 1 
-0.452509 25.1517 0.328558 0 0 0 0.137366 13 18 1 0 1 
9.85976 -22.317 0.336326 0 0 0 0.136905 13 19 1 0 1 
-13.0134 14.6529 0.320659 0 0 0 0.140119 13 20 1 0 1 
10.7686 -9.85851 0.321552 0 0 0 0.140667 13 21 1 0 1 
-9.50417 31.6094 0.343301 0 0 0 0.137205 13 22 1 0 1 
16.984 6.78488 0.330787 0 0 0 0.137701 13 23 1 0 1 
-5.4222 10.3477 0.35675 0 0 0 0.133719 13 24 1 0 1 
-20.11 4.99207 0.330438 0 0 0 0.13944 13 25 1 0 1 
14.1886 -11.281 0.313703 0 0 0 0.142576 13 26 1 0 1 
-11.915 8.19281 0.370509 0 0 0 0.131906 13 27 1 0 1 
2.47087 -12.718 0.332439 0 0 0 0.138511 13 28 1 0 1 
8.31446 -5.63852 0.37046 0 0 0 0.129529 13 29 1 0 1 
-5.04172 -30.0188 0.334827 0 0 0 0.138443 13 30 1 0 1 
11.3239 21.8655 0.309206 0 0 0 0.141365 13 31 1 0 1 
-8.491 10.7249 0.305296 0 0 0 0.142479 13 32 1 0 1 
0.151746 6.70918 0.334894 0 0 0 0.138329 13 33 1 0 1 
19.3096 21.6971 0.24652 0 0 0 0.157636 13 34 1 0 1 
-10.6703 -24.0355 0.264137 0 0 0 0.152559 13 35 1 0 1 
-4.64412 0.160893 0.322969 0 0 0 0.140723 13 36 1 0 1 
-18.1839 -6.21707 0.314366 0 0 0 0.142054 13 37 1 0 1 
0.668186 0.198832 0.329466 0 0 0 0.138387 13 38 1 0 1 
0.178746 -17.5818 0.27904 0 0 0 0.149061 13 39 1 0 1 
-17.4603 6.52142 0.280216 0 0 0 0.149126 13 40 1 0 1 
22.429 -8.79351 0.337117 0 0 0 0.1365 13 41 1 0 1 
